,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.8618831634521484,0.025105205920248817,0.024135446548461913,0.00532991514011359,0.9,0.001,4,20,"{'gamma': 0.9, 'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 20}",0.2962962962962963,0.5952380952380952,0.0,0.0,0.0,0.1783068783068783,0.2379635144150711,8
1,0.9047803401947021,0.041001839554496676,0.018949174880981447,0.0010927540315547892,0.9,0.003,4,20,"{'gamma': 0.9, 'learning_rate': 0.003, 'max_depth': 4, 'n_estimators': 20}",0.3076923076923077,0.5952380952380952,0.0,0.0,0.0,0.18058608058608058,0.23913439055413235,6
2,0.8983970642089844,0.02032605017026839,0.018351173400878905,0.0004885387300577005,0.9,0.006,4,20,"{'gamma': 0.9, 'learning_rate': 0.006, 'max_depth': 4, 'n_estimators': 20}",0.3076923076923077,0.5952380952380952,0.0,0.0,0.0,0.18058608058608058,0.23913439055413235,6
3,0.9185433864593506,0.03773550586017517,0.020943975448608397,0.0014104358604805892,0.9,0.01,4,20,"{'gamma': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 20}",0.0,0.5952380952380952,0.0,0.0,0.0,0.11904761904761904,0.2380952380952381,10
4,0.9153519153594971,0.024812444018677472,0.01874995231628418,0.0007462892430703855,0.9,0.03,4,20,"{'gamma': 0.9, 'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 20}",0.0,0.6153846153846154,0.0,0.0,0.0,0.12307692307692308,0.24615384615384617,9
5,0.904780387878418,0.021643638457987217,0.019747257232666016,0.00311573510915308,0.9,0.06,4,20,"{'gamma': 0.9, 'learning_rate': 0.06, 'max_depth': 4, 'n_estimators': 20}",0.0,0.4444444444444444,0.5882352941176471,0.0,1.0,0.4065359477124183,0.3787332152138323,2
6,0.8995940685272217,0.029497953669273814,0.020146274566650392,0.002705708308110121,0.9,0.1,4,20,"{'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 20}",0.5,0.4666666666666667,0.5,0.45,0.5882352941176471,0.5009803921568627,0.04773211161311137,1
7,0.9105649471282959,0.025238673561296478,0.018350791931152344,0.0004887531419829501,0.9,0.3,4,20,"{'gamma': 0.9, 'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 20}",0.44,0.04672290720311486,0.2037037037037037,0.14465408805031446,0.5016181229773463,0.2673397643868959,0.17462590147907409,3
8,0.9718008518218995,0.052371272573335216,0.019747495651245117,0.0007462254876640142,0.9,0.6,4,20,"{'gamma': 0.9, 'learning_rate': 0.6, 'max_depth': 4, 'n_estimators': 20}",0.3793103448275862,0.05630126771066368,0.1142433234421365,0.12329969284774024,0.4416243654822335,0.222955798862072,0.1560680368319943,4
9,1.0725313663482665,0.020830596531938042,0.021741867065429688,0.0011630719468332168,0.9,1,4,20,"{'gamma': 0.9, 'learning_rate': 1, 'max_depth': 4, 'n_estimators': 20}",0.3231850117096019,0.05195099818511797,0.10958230958230958,0.16534496431403647,0.37158469945355194,0.20432959664892358,0.12313973066236283,5
